# General English synonyms
happy glad 0.9
happy joyful 0.8
happy pleased 0.7
sad unhappy 0.9
sad depressed 0.7
big large 0.9
big huge 0.7
small little 0.9
small tiny 0.8
fast quick 0.9
fast rapid 0.8
good great 0.8
good excellent 0.9
bad poor 0.8
bad terrible 0.7
buy purchase 0.9
buy acquire 0.8
sell trade 0.7
price cost 0.9
price value 0.7
important critical 0.9
important significant 0.8
problem issue 0.9
problem trouble 0.8
help support 0.8
help assist 0.9
start begin 0.9
start initiate 0.7
end finish 0.9
end complete 0.8
